楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
12幢3单元,501室,125.55㎡,109.22㎡,86.99%,27131元/㎡,-,3406297.05元,可售
12幢3单元,502室,138.42㎡,120.42㎡,87.00%,27136元/㎡,-,3756165.12元,可售
12幢3单元,601室,125.55㎡,109.22㎡,86.99%,27381元/㎡,-,3437684.55元,可售
12幢3单元,602室,138.42㎡,120.42㎡,87.00%,27386元/㎡,-,3790770.12元,可售
12幢3单元,701室,125.55㎡,109.22㎡,86.99%,27360元/㎡,-,3435048元,可售
12幢3单元,702室,138.42㎡,120.42㎡,87.00%,27365元/㎡,-,3787863.3元,可售
13幢1单元,102室,81.68㎡,68.19㎡,83.48%,26598元/㎡,-,2172524.64元,可售
13幢1单元,201室,115.85㎡,96.72㎡,83.49%,27611元/㎡,-,3198734.35元,可售
13幢1单元,202室,89.7㎡,74.89㎡,83.49%,25453元/㎡,-,2283134.1元,可售
13幢1单元,301室,115.85㎡,96.72㎡,83.49%,27911元/㎡,-,3233489.35元,可售
13幢1单元,302室,89.7㎡,74.89㎡,83.49%,25753元/㎡,-,2310044.1元,可售
13幢1单元,401室,115.85㎡,96.72㎡,83.49%,28161元/㎡,-,3262451.85元,可售
13幢1单元,402室,89.7㎡,74.89㎡,83.49%,26003元/㎡,-,2332469.1元,可售
13幢1单元,501室,115.85㎡,96.72㎡,83.49%,28411元/㎡,-,3291414.35元,可售
13幢1单元,502室,89.7㎡,74.89㎡,83.49%,26253元/㎡,-,2354894.1元,可售
13幢1单元,601室,115.85㎡,96.72㎡,83.49%,28661元/㎡,-,3320376.85元,可售
13幢1单元,602室,89.7㎡,74.89㎡,83.49%,26503元/㎡,-,2377319.1元,可售
13幢1单元,701室,115.85㎡,96.72㎡,83.49%,28646元/㎡,-,3318639.1元,可售
13幢1单元,702室,89.7㎡,74.89㎡,83.49%,26477元/㎡,-,2374986.9元,可售
13幢2单元,102室,89.83㎡,75㎡,83.50%,26764元/㎡,-,2404210.12元,可售
13幢2单元,201室,89.74㎡,74.92㎡,83.49%,25453元/㎡,-,2284152.22元,可售
13幢2单元,202室,89.83㎡,75㎡,83.50%,25327元/㎡,-,2275124.41元,可售
13幢2单元,301室,89.74㎡,74.92㎡,83.49%,25753元/㎡,-,2311074.22元,可售
13幢2单元,302室,89.83㎡,75㎡,83.50%,25627元/㎡,-,2302073.41元,可售
13幢2单元,401室,89.74㎡,74.92㎡,83.49%,26003元/㎡,-,2333509.22元,可售
13幢2单元,402室,89.83㎡,75㎡,83.50%,25877元/㎡,-,2324530.91元,可售
13幢2单元,501室,89.74㎡,74.92㎡,83.49%,26253元/㎡,-,2355944.22元,可售
13幢2单元,502室,89.83㎡,75㎡,83.50%,26127元/㎡,-,2346988.41元,可售
13幢2单元,601室,89.74㎡,74.92㎡,83.49%,26503元/㎡,-,2378379.22元,可售
13幢2单元,602室,89.83㎡,75㎡,83.50%,26377元/㎡,-,2369445.91元,可售
13幢2单元,701室,89.74㎡,74.92㎡,83.49%,26477元/㎡,-,2376045.98元,可售
13幢2单元,702室,89.84㎡,75.01㎡,83.49%,26351元/㎡,-,2367373.84元,可售
13幢3单元,102室,115.73㎡,96.62㎡,83.49%,27002元/㎡,-,3124941.46元,可售
13幢3单元,201室,89.74㎡,74.92㎡,83.49%,25075元/㎡,-,2250230.5元,可售
13幢3单元,202室,115.69㎡,96.59㎡,83.49%,26569元/㎡,-,3073767.61元,可售
13幢3单元,301室,89.74㎡,74.92㎡,83.49%,25375元/㎡,-,2277152.5元,可售
13幢3单元,302室,115.69㎡,96.59㎡,83.49%,26869元/㎡,-,3108474.61元,可售
13幢3单元,401室,89.74㎡,74.92㎡,83.49%,25625元/㎡,-,2299587.5元,可售
13幢3单元,402室,115.69㎡,96.59㎡,83.49%,27119元/㎡,-,3137397.11元,可售
13幢3单元,501室,89.74㎡,74.92㎡,83.49%,25875元/㎡,-,2322022.5元,可售
13幢3单元,502室,115.69㎡,96.59㎡,83.49%,27369元/㎡,-,3166319.61元,可售
13幢3单元,601室,89.74㎡,74.92㎡,83.49%,26125元/㎡,-,2344457.5元,可售
13幢3单元,602室,115.69㎡,96.59㎡,83.49%,27619元/㎡,-,3195242.11元,可售
13幢3单元,701室,89.74㎡,74.92㎡,83.49%,26098元/㎡,-,2342034.52元,可售
13幢3单元,702室,115.69㎡,96.59㎡,83.49%,27599元/㎡,-,3192928.31元,可售
